Task overview
Score	Task	Name	Time limit	Memory limit	Type	Files
100 / 100	A1-001	สวัสดี: ชื่อ	1.000 second	8.00 MiB	Batch	A1-001[.cpp|.c|.py]
0 / 100	A1-002	แลกเปลี่ยนเงิน	1.000 second	8.00 MiB	Batch	A1-002[.cpp|.c|.py]
0 / 100	A1-003	ค่าสูงสุด	1.000 second	8.00 MiB	Batch	A1-003[.cpp|.c|.py]
0 / 100	A1-004	ผลการสอบ	1.000 second	8.00 MiB	Batch	A1-004[.cpp|.c|.py]
0 / 100	A1-005	ฤดูกาล	1.000 second	8.00 MiB	Batch	A1-005[.cpp|.c|.py]
0 / 100	A1-006	หารลงตัว	1.000 second	8.00 MiB	Batch	A1-006[.cpp|.c|.py]
0 / 100	A1-007	การตรวจสอบสระ	1.000 second	8.00 MiB	Batch	A1-007[.cpp|.c|.py]
0 / 100	A1-008	การตรวจสอบบัตรประชาชน	1.000 second	8.00 MiB	Batch	A1-008[.cpp|.c|.py]
0 / 100	A1-009	ผ่าน/ไม่ผ่าน	1.000 second	8.00 MiB	Batch	A1-009[.cpp|.c|.py]
0 / 100	A1-010	ค่าตั๋ว	1.000 second	8.00 MiB	Batch	A1-010[.cpp|.c|.py]
0 / 100	A1-011	ข้อความ THEOS	1.000 second	8.00 MiB	Batch	A1-011[.cpp|.c|.py]
0 / 100	A1-012	สลับหมายเลข	1.000 second	8.00 MiB	Batch	A1-012[.cpp|.c|.py]
0 / 100	A1-013	รหัสเซฟ	1.000 second	8.00 MiB	Batch	A1-013[.cpp|.c|.py]
0 / 100	A1-014	Show Min	1.000 second	8.00 MiB	Batch	A1-014[.cpp|.c|.py]
0 / 100	A1-015	รหัสผ่าน	1.000 second	8.00 MiB	Batch	A1-015[.cpp|.c|.py]
0 / 100	A1-016	การตรวจสอบบัตรนักศึกษา	1.000 second	8.00 MiB	Batch	A1-016[.cpp|.c|.py]
0 / 100	A1-017	วันเกิด	1.000 second	8.00 MiB	Batch	A1-017[.cpp|.c|.py]
